"filename", "language", "C++", "Markdown", "x86 and x86_64 Assembly", "C", "Makefile", "comment", "blank", "total"
"/home/lexyleinchen/osdev/PrintOS/Makefile", "Makefile", 0, 0, 0, 0, 48, 0, 15, 63
"/home/lexyleinchen/osdev/PrintOS/README.md", "Markdown", 0, 11, 0, 0, 0, 0, 0, 11
"/home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.cpp", "C++", 2, 0, 0, 0, 0, 0, -1, 1
"/home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.h", "C++", -2, 0, 0, 0, 0, 0, 0, -2
"/home/lexyleinchen/osdev/PrintOS/src/apps/diskmanager/diskmanager.h", "C++", -2, 0, 0, 0, 0, 0, 0, -2
"/home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.cpp", "C++", -1, 0, 0, 0, 0, 0, 0, -1
"/home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.h", "C++", -2, 0, 0, 0, 0, 0, 0, -2
"/home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.cpp", "C++", 109, 0, 0, 0, 0, 0, 35, 144
"/home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.h", "C++", 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.cpp", "C++", -94, 0, 0, 0, 0, 0, -32, -126
"/home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.h", "C++", -3, 0, 0, 0, 0, 0, 0, -3
"/home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.c", "C", 0, 0, 0, 2, 0, 0, -1, 1
"/home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.h", "C++", -2, 0, 0, 0, 0, 0, 0, -2
"/home/lexyleinchen/osdev/PrintOS/src/boot/boot.asm", "x86 and x86_64 Assembly", 0, 0, 2, 0, 0, 0, 1, 3
"/home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.c", "C", 0, 0, 0, 22, 0, 0, 7, 29
"/home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.h", "C++", 1, 0, 0, 0, 0, 0, 1, 2
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.c", "C", 0, 0, 0, 53, 0, 0, 14, 67
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.h", "C++", 3, 0, 0, 0, 0, 0, 3, 6
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.c", "C", 0, 0, 0, 21, 0, 0, 6, 27
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.h", "C++", 2, 0, 0, 0, 0, 0, 1, 3
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.c", "C", 0, 0, 0, 306, 0, 0, 62, 368
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.h", "C++", 15, 0, 0, 0, 0, 0, 9, 24
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.c", "C", 0, 0, 0, 80, 0, 0, 17, 97
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.h", "C++", 25, 0, 0, 0, 0, 0, 10, 35
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.c", "C", 0, 0, 0, 0, 0, 0, -2, -2
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.h", "C++", 2, 0, 0, 0, 0, 0, 2, 4
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.c", "C", 0, 0, 0, 12, 0, 0, 2, 14
