Date : 2026-09-15 02:30:37
Directory : /home/lexyleinchen/osdev/PrintOS
Total : 62 files,  3301 codes, 0 comments, 751 blanks, all 4052 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C                       |         22 |      2,593 |          0 |        518 |      3,111 |
| C++                     |         36 |        519 |          0 |        201 |        720 |
| x86 and x86_64 Assembly |          2 |        130 |          0 |         17 |        147 |
| Makefile                |          1 |         48 |          0 |         15 |         63 |
| Markdown                |          1 |         11 |          0 |          0 |         11 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                             |         62 |      3,301 |          0 |        751 |      4,052 |
| . (Files)                                                                     |          2 |         59 |          0 |         15 |         74 |
| src                                                                           |         60 |      3,242 |          0 |        736 |      3,978 |
| src/apps                                                                      |         11 |         11 |          0 |          3 |         14 |
| src/apps/calculator                                                           |          2 |          0 |          0 |         -1 |         -1 |
| src/apps/diskmanager                                                          |          1 |         -2 |          0 |          0 |         -2 |
| src/apps/filebrowser                                                          |          2 |         -3 |          0 |          0 |         -3 |
| src/apps/logs                                                                 |          2 |        113 |          0 |         37 |        150 |
| src/apps/terminal                                                             |          2 |        -97 |          0 |        -32 |       -129 |
| src/apps/texteditor                                                           |          2 |          0 |          0 |         -1 |         -1 |
| src/boot                                                                      |          1 |          2 |          0 |          1 |          3 |
| src/kernel                                                                    |         41 |      2,951 |          0 |        657 |      3,608 |
| src/kernel (Files)                                                            |          1 |         30 |          0 |          0 |         30 |
| src/kernel/boot                                                               |          2 |         23 |          0 |          8 |         31 |
| src/kernel/core                                                               |          4 |         79 |          0 |         24 |        103 |
| src/kernel/drivers                                                            |         12 |        532 |          0 |        132 |        664 |
| src/kernel/drivers/ethernet                                                   |          4 |        426 |          0 |         98 |        524 |
| src/kernel/drivers/ethernet (Files)                                           |          2 |        105 |          0 |         27 |        132 |
| src/kernel/drivers/ethernet/e1000                                             |          2 |        321 |          0 |         71 |        392 |
| src/kernel/drivers/ide                                                        |          2 |          2 |          0 |          0 |          2 |
| src/kernel/drivers/pci                                                        |          2 |         15 |          0 |          5 |         20 |
| src/kernel/drivers/ps2                                                        |          2 |         42 |          0 |         15 |         57 |
| src/kernel/drivers/serial                                                     |          2 |         47 |          0 |         14 |         61 |
| src/kernel/framebuffer                                                        |          2 |        189 |          0 |         26 |        215 |
| src/kernel/inputs                                                             |          3 |         94 |          0 |         25 |        119 |
| src/kernel/interrupts                                                         |          5 |      1,198 |          0 |        231 |      1,429 |
| src/kernel/network                                                            |         12 |        806 |          0 |        211 |      1,017 |
| src/kernel/network/arp                                                        |          2 |        147 |          0 |         35 |        182 |
| src/kernel/network/dhcp                                                       |          2 |        281 |          0 |         64 |        345 |
| src/kernel/network/icmp                                                       |          2 |         88 |          0 |         27 |        115 |
| src/kernel/network/ipv4                                                       |          2 |        186 |          0 |         54 |        240 |
| src/kernel/network/ipv6                                                       |          2 |         42 |          0 |         13 |         55 |
| src/kernel/network/udp                                                        |          2 |         62 |          0 |         18 |         80 |
| src/os                                                                        |          7 |        278 |          0 |         75 |        353 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                      | language                | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| /home/lexyleinchen/osdev/PrintOS/Makefile                                     | Makefile                |         48 |          0 |         15 |         63 |
| /home/lexyleinchen/osdev/PrintOS/README.md                                    | Markdown                |         11 |          0 |          0 |         11 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.cpp           | C++                     |          2 |          0 |         -1 |          1 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.h             | C++                     |         -2 |          0 |          0 |         -2 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/diskmanager/diskmanager.h           | C++                     |         -2 |          0 |          0 |         -2 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.cpp         | C++                     |         -1 |          0 |          0 |         -1 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.h           | C++                     |         -2 |          0 |          0 |         -2 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.cpp                       | C++                     |        109 |          0 |         35 |        144 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.h                         | C++                     |          4 |          0 |          2 |          6 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.cpp               | C++                     |        -94 |          0 |        -32 |       -126 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.h                 | C++                     |         -3 |          0 |          0 |         -3 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.c             | C                       |          2 |          0 |         -1 |          1 |
| /home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.h             | C++                     |         -2 |          0 |          0 |         -2 |
| /home/lexyleinchen/osdev/PrintOS/src/boot/boot.asm                            | x86 and x86_64 Assembly |          2 |          0 |          1 |          3 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.c                  | C                       |         22 |          0 |          7 |         29 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.h                  | C++                     |          1 |          0 |          1 |          2 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.c                        | C                       |         53 |          0 |         14 |         67 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.h                        | C++                     |          3 |          0 |          3 |          6 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.c                       | C                       |         21 |          0 |          6 |         27 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.h                       | C++                     |          2 |          0 |          1 |          3 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.c    | C                       |        306 |          0 |         62 |        368 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.h    | C++                     |         15 |          0 |          9 |         24 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.c       | C                       |         80 |          0 |         17 |         97 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.h       | C++                     |         25 |          0 |         10 |         35 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.c                 | C                       |          0 |          0 |         -2 |         -2 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.h                 | C++                     |          2 |          0 |          2 |          4 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.c                 | C                       |         12 |          0 |          2 |         14 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.h                 | C++                     |          3 |          0 |          3 |          6 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.c                 | C                       |         39 |          0 |         12 |         51 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.h                 | C++                     |          3 |          0 |          3 |          6 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/serial/serial.c           | C                       |         34 |          0 |          7 |         41 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/serial/serial.h           | C++                     |         13 |          0 |          7 |         20 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer_console.c | C                       |        177 |          0 |         21 |        198 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer_console.h | C++                     |         12 |          0 |          5 |         17 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.c                 | C                       |        100 |          0 |         27 |        127 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.h                 | C++                     |          1 |          0 |          1 |          2 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.c                    | C                       |         -7 |          0 |         -3 |        -10 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.c                 | C                       |        390 |          0 |         92 |        482 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.h                 | C++                     |         19 |          0 |         13 |         32 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.asm         | x86 and x86_64 Assembly |        128 |          0 |         16 |        144 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.c           | C                       |        616 |          0 |         94 |        710 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.h           | C++                     |         45 |          0 |         16 |         61 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/kernel.c                          | C                       |         30 |          0 |          0 |         30 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/network/arp/arp.c                 | C                       |        134 |          0 |         28 |        162 |
| /home/lexyleinchen/osdev/PrintOS/src/kernel/network/arp/arp.h                 | C++                     |         13 |          0 |          7 |         20 |
