"filename", "language", "Properties", "LinkerScript", "C++", "Markdown", "x86 and x86_64 Assembly", "C", "Makefile", "comment", "blank", "total"
"/home/lexyleinchen/osdev/PrintOS/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 156, 0, 51, 207
"/home/lexyleinchen/osdev/PrintOS/README.md", "Markdown", 0, 0, 0, 117, 0, 0, 0, 0, 68, 185
"/home/lexyleinchen/osdev/PrintOS/iso/boot/grub/grub.cfg", "Properties", 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/lexyleinchen/osdev/PrintOS/src/apps/calculator/calculator.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/apps/diskmanager/diskmanager.cpp", "C++", 0, 0, 264, 0, 0, 0, 0, 0, 57, 321
"/home/lexyleinchen/osdev/PrintOS/src/apps/diskmanager/diskmanager.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.cpp", "C++", 0, 0, 177, 0, 0, 0, 0, 1, 45, 223
"/home/lexyleinchen/osdev/PrintOS/src/apps/filebrowser/filebrowser.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.cpp", "C++", 0, 0, 109, 0, 0, 0, 0, 0, 35, 144
"/home/lexyleinchen/osdev/PrintOS/src/apps/logs/logs.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/lexyleinchen/osdev/PrintOS/src/apps/terminal/terminal.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.c", "C", 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/lexyleinchen/osdev/PrintOS/src/apps/texteditor/texteditor.h", "C++", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"/home/lexyleinchen/osdev/PrintOS/src/boot/boot.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 107, 0, 0, 4, 41, 152
"/home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.c", "C", 0, 0, 0, 0, 0, 69, 0, 0, 16, 85
"/home/lexyleinchen/osdev/PrintOS/src/kernel/boot/multiboot.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.c", "C", 0, 0, 0, 0, 0, 165, 0, 0, 41, 206
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/log.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.c", "C", 0, 0, 0, 0, 0, 95, 0, 0, 25, 120
"/home/lexyleinchen/osdev/PrintOS/src/kernel/core/work.h", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 14, 43
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ahci/ahci.c", "C", 0, 0, 0, 0, 0, 47, 0, 0, 5, 52
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ahci/ahci.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 6, 18
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.c", "C", 0, 0, 0, 0, 0, 306, 0, 0, 62, 368
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/e1000/e1000.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 9, 24
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.c", "C", 0, 0, 0, 0, 0, 80, 0, 0, 17, 97
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ethernet/ethernet.h", "C++", 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.c", "C", 0, 0, 0, 0, 0, 292, 0, 0, 66, 358
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ide/ide.h", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 8, 22
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.c", "C", 0, 0, 0, 0, 0, 109, 0, 0, 21, 130
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/pci/pci.h", "C++", 0, 0, 27, 0, 0, 0, 0, 0, 12, 39
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.c", "C", 0, 0, 0, 0, 0, 180, 0, 0, 48, 228
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/ps2/ps2.h", "C++", 0, 0, 17, 0, 0, 0, 0, 0, 11, 28
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/serial/serial.c", "C", 0, 0, 0, 0, 0, 34, 0, 0, 7, 41
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/serial/serial.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 7, 20
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/usb/usb.c", "C", 0, 0, 0, 0, 0, 725, 0, 0, 167, 892
"/home/lexyleinchen/osdev/PrintOS/src/kernel/drivers/usb/usb.h", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 7, 37
"/home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer.c", "C", 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"/home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer.h", "C++", 0, 0, 18, 0, 0, 0, 0, 0, 7, 25
"/home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer_console.c", "C", 0, 0, 0, 0, 0, 177, 0, 0, 21, 198
"/home/lexyleinchen/osdev/PrintOS/src/kernel/framebuffer/framebuffer_console.h", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.c", "C", 0, 0, 0, 0, 0, 100, 0, 0, 28, 128
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/keyboard.h", "C++", 0, 0, 16, 0, 0, 0, 0, 0, 10, 26
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.c", "C", 0, 0, 0, 0, 0, 162, 0, 0, 43, 205
"/home/lexyleinchen/osdev/PrintOS/src/kernel/inputs/mouse.h", "C++", 0, 0, 24, 0, 0, 0, 0, 0, 14, 38
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.c", "C", 0, 0, 0, 0, 0, 390, 0, 0, 92, 482
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/apic.h", "C++", 0, 0, 19, 0, 0, 0, 0, 0, 13, 32
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 128, 0, 0, 0, 16, 144
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.c", "C", 0, 0, 0, 0, 0, 616, 0, 0, 94, 710
"/home/lexyleinchen/osdev/PrintOS/src/kernel/interrupts/interrupts.h", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 16, 61
"/home/lexyleinchen/osdev/PrintOS/src/kernel/kernel.c", "C", 0, 0, 0, 0, 0, 59, 0, 0, 3, 62
