"filename", "language", "Markdown", "C++", "LinkerScript", "C", "Properties", "x86 and x86_64 Assembly", "Makefile", "comment", "blank", "total"
"/mnt/HDD 500GB/Coding/Belqen/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 186, 0, 61, 247
"/mnt/HDD 500GB/Coding/Belqen/README.md", "Markdown", 135, 0, 0, 0, 0, 0, 0, 0, 80, 215
"/mnt/HDD 500GB/Coding/Belqen/iso/boot/grub/grub.cfg", "Properties", 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"/mnt/HDD 500GB/Coding/Belqen/src/apps/calculator/calculator.cpp", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/mnt/HDD 500GB/Coding/Belqen/src/apps/calculator/calculator.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/apps/diskmanager/diskmanager.cpp", "C++", 0, 264, 0, 0, 0, 0, 0, 0, 57, 321
"/mnt/HDD 500GB/Coding/Belqen/src/apps/diskmanager/diskmanager.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/apps/filebrowser/filebrowser.cpp", "C++", 0, 177, 0, 0, 0, 0, 0, 1, 45, 223
"/mnt/HDD 500GB/Coding/Belqen/src/apps/filebrowser/filebrowser.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/apps/logs/logs.cpp", "C++", 0, 109, 0, 0, 0, 0, 0, 0, 35, 144
"/mnt/HDD 500GB/Coding/Belqen/src/apps/logs/logs.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/apps/terminal/terminal.cpp", "C++", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/mnt/HDD 500GB/Coding/Belqen/src/apps/terminal/terminal.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 3, 7
"/mnt/HDD 500GB/Coding/Belqen/src/apps/texteditor/texteditor.c", "C", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/mnt/HDD 500GB/Coding/Belqen/src/apps/texteditor/texteditor.h", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/boot/boot.asm", "x86 and x86_64 Assembly", 0, 0, 0, 0, 0, 112, 0, 5, 42, 159
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/boot/multiboot.c", "C", 0, 0, 0, 74, 0, 0, 0, 0, 17, 91
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/boot/multiboot.h", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 7, 20
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/ipc.c", "C", 0, 0, 0, 117, 0, 0, 0, 0, 31, 148
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/ipc.h", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 11, 41
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/log.c", "C", 0, 0, 0, 168, 0, 0, 0, 0, 42, 210
