"filename", "language", "C", "C++", "x86 and x86_64 Assembly", "Makefile", "comment", "blank", "total"
"/mnt/HDD 500GB/Coding/Belqen/Makefile", "Makefile", 0, 0, 0, 6, 0, 2, 8
"/mnt/HDD 500GB/Coding/Belqen/src/boot/boot.asm", "x86 and x86_64 Assembly", 0, 0, 15, 0, 0, 6, 21
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/bpe.h", "C++", 0, 35, 0, 0, 0, 6, 41
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/loader.c", "C", 140, 0, 0, 0, 0, 44, 184
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/loader.h", "C++", 0, 13, 0, 0, 0, 5, 18
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/process.c", "C", 19, 0, 0, 0, 0, 6, 25
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/process.h", "C++", 0, 2, 0, 0, 0, 1, 3
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/scheduler.c", "C", 7, 0, 0, 0, 0, 1, 8
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/syscall.c", "C", 74, 0, 0, 0, 0, 25, 99
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/syscall.h", "C++", 0, 21, 0, 0, 0, 7, 28
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/task_switch.asm", "x86 and x86_64 Assembly", 0, 0, 5, 0, 0, 2, 7
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/thread.c", "C", 107, 0, 0, 0, 0, 21, 128
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/core/thread.h", "C++", 0, 4, 0, 0, 0, 2, 6
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/interrupts.asm", "x86 and x86_64 Assembly", 0, 0, 5, 0, 0, 2, 7
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/interrupts/interrupts.c", "C", 51, 0, 0, 0, 0, 27, 78
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/kernel.c", "C", 50, 0, 0, 0, 0, 16, 66
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/address_space.c", "C", 35, 0, 0, 0, 0, 10, 45
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/memory/address_space.h", "C++", 0, 1, 0, 0, 0, 1, 2
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/block.c", "C", -6, 0, 0, 0, 0, -2, -8
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/fat32/fat32.c", "C", 345, 0, 0, 0, 0, 124, 469
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/fat32/fat32.h", "C++", 0, 6, 0, 0, 0, 6, 12
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/filesystem.c", "C", 77, 0, 0, 0, 0, 24, 101
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/partition/filesystem/filesystem.h", "C++", 0, 22, 0, 0, 0, 10, 32
"/mnt/HDD 500GB/Coding/Belqen/src/kernel/storage/storage.c", "C", 52, 0, 0, 0, 0, 15, 67
"/mnt/HDD 500GB/Coding/Belqen/src/os/os.cpp", "C++", 0, 2, 0, 0, 0, 1, 3
"/mnt/HDD 500GB/Coding/Belqen/src/os/os_syscall.h", "C++", 0, 52, 0, 0, 0, 14, 66
"Total", "-", 951, 158, 25, 6, 0, 376, 1516
