Date : 2026-09-23 12:35:27
Directory : /mnt/HDD 500GB/Coding/Belqen
Total : 117 files,  11833 codes, 15 comments, 3200 blanks, all 15048 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C                       |         41 |      8,202 |          1 |      2,056 |     10,259 |
| C++                     |         69 |      2,961 |          7 |        917 |      3,885 |
| x86 and x86_64 Assembly |          3 |        305 |          7 |         75 |        387 |
| Makefile                |          1 |        192 |          0 |         63 |        255 |
| Markdown                |          1 |        135 |          0 |         80 |        215 |
| LinkerScript            |          1 |         34 |          0 |          9 |         43 |
| Properties              |          1 |          4 |          0 |          0 |          4 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        117 |     11,833 |         15 |      3,200 |     15,048 |
| . (Files)                                                                          |          2 |        327 |          0 |        143 |        470 |
| iso                                                                                |          1 |          4 |          0 |          0 |          4 |
| iso/boot                                                                           |          1 |          4 |          0 |          0 |          4 |
| iso/boot/grub                                                                      |          1 |          4 |          0 |          0 |          4 |
| src                                                                                |        114 |     11,502 |         15 |      3,057 |     14,574 |
| src (Files)                                                                        |          1 |         34 |          0 |          9 |         43 |
| src/apps                                                                           |         12 |        607 |          1 |        159 |        767 |
| src/apps/calculator                                                                |          2 |         15 |          0 |          5 |         20 |
| src/apps/diskmanager                                                               |          2 |        268 |          0 |         59 |        327 |
| src/apps/filebrowser                                                               |          2 |        181 |          1 |         47 |        229 |
| src/apps/logs                                                                      |          2 |        113 |          0 |         37 |        150 |
| src/apps/terminal                                                                  |          2 |         15 |          0 |          6 |         21 |
| src/apps/texteditor                                                                |          2 |         15 |          0 |          5 |         20 |
| src/boot                                                                           |          1 |        127 |          5 |         48 |        180 |
| src/kernel                                                                         |         83 |      9,370 |          3 |      2,520 |     11,893 |
| src/kernel (Files)                                                                 |          1 |        128 |          0 |         20 |        148 |
| src/kernel/boot                                                                    |          2 |         87 |          0 |         24 |        111 |
| src/kernel/core                                                                    |         18 |      1,482 |          2 |        401 |      1,885 |
| src/kernel/drivers                                                                 |         16 |      1,922 |          0 |        462 |      2,384 |
| src/kernel/drivers/ahci                                                            |          2 |         59 |          0 |         11 |         70 |
| src/kernel/drivers/ethernet                                                        |          4 |        426 |          0 |         98 |        524 |
| src/kernel/drivers/ethernet (Files)                                                |          2 |        105 |          0 |         27 |        132 |
| src/kernel/drivers/ethernet/e1000                                                  |          2 |        321 |          0 |         71 |        392 |
| src/kernel/drivers/ide                                                             |          2 |        302 |          0 |         73 |        375 |
| src/kernel/drivers/pci                                                             |          2 |        136 |          0 |         33 |        169 |
| src/kernel/drivers/ps2                                                             |          2 |        197 |          0 |         59 |        256 |
| src/kernel/drivers/serial                                                          |          2 |         47 |          0 |         14 |         61 |
| src/kernel/drivers/usb                                                             |          2 |        755 |          0 |        174 |        929 |
| src/kernel/framebuffer                                                             |          4 |        215 |          0 |         36 |        251 |
| src/kernel/inputs                                                                  |          4 |        302 |          0 |         95 |        397 |
| src/kernel/interrupts                                                              |          5 |      1,261 |          1 |        261 |      1,523 |
| src/kernel/memory                                                                  |         11 |        943 |          0 |        325 |      1,268 |
| src/kernel/network                                                                 |         12 |        806 |          0 |        211 |      1,017 |
| src/kernel/network/arp                                                             |          2 |        147 |          0 |         35 |        182 |
| src/kernel/network/dhcp                                                            |          2 |        281 |          0 |         64 |        345 |
| src/kernel/network/icmp                                                            |          2 |         88 |          0 |         27 |        115 |
| src/kernel/network/ipv4                                                            |          2 |        186 |          0 |         54 |        240 |
| src/kernel/network/ipv6                                                            |          2 |         42 |          0 |         13 |         55 |
| src/kernel/network/udp                                                             |          2 |         62 |          0 |         18 |         80 |
| src/kernel/storage                                                                 |         10 |      2,224 |          0 |        685 |      2,909 |
| src/kernel/storage (Files)                                                         |          4 |        280 |          0 |         92 |        372 |
| src/kernel/storage/partition                                                       |          6 |      1,944 |          0 |        593 |      2,537 |
| src/kernel/storage/partition (Files)                                               |          2 |        412 |          0 |        122 |        534 |
